,corr_with_age,corr_with_MetSCORE,corr_with_sex,abs_sum
egfr_ml_min,-0.928391,0.013854,-0.033377,0.975622
creatinine_mgdl,0.194511,-0.004177,0.119752,0.318441
alcohol_units_per_week,0.015493,0.006574,0.278638,0.300706
y_rbc_10^12_per_L,0.011491,-0.251901,-0.003283,0.266674
y_hgb_gdl,0.012315,-0.241828,-0.003355,0.257498
y_hct_pct,0.009424,-0.086695,-0.002799,0.098918
albumin_gdl,0.012929,0.010002,-0.002262,0.025193
physical_activity_level,-0.006313,-0.005018,0.009193,0.020524
folate_ngml,-0.006292,0.009880,-0.001992,0.018164
vitamin_b12_pgml,0.004448,-0.005403,-0.005402,0.015253
dbp_mmHg,-0.011495,-0.001047,-0.002585,0.015127
iron_ugdl,0.001399,0.009518,-0.003736,0.014654
smoker,-0.002465,0.008358,0.002518,0.013341
ferritin_ngml,0.007626,-0.000727,0.002047,0.010401
wbc_10^9_per_L,-0.002437,0.000463,0.007272,0.010171
vitamin_d_ngml,-0.000569,-0.005093,0.003247,0.008909
heart_rate_bpm,0.002675,0.002851,0.003156,0.008682
plt_10^9_per_L,-0.003158,0.002794,0.002026,0.007977
crp_mgL,0.000053,-0.004712,-0.001552,0.006317
sbp_mmHg,0.003987,0.000104,0.000411,0.004502
